Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
ATRIUM HEALTH,55,6,1,0,0,0,0,0,100,0,3.8,3.8,3.5,2.8,4.4,3.6,1.3,40.8,31.1,0.4,3,0.5,6975.87,1162.65,0,0,19,9.3,1.5,4.1,66,80.5,71.5,1.96,1.3,9.3,1.3,15.4,2.7,1.8,37.2,23.2,95.3,74.8,0,54.5,6.2,1.9,24.1,10.9,21.4,2
AUTUMN LAKE HEALTHCARE,56,51,5,0,1,2,3.9,100,0,0,2.3,2.4,2.4,3.4,3.7,3.3,0.6,49.6,48.7,0.9,53,1,667496.25,13088.16,3,0.1,22.3,9.4,1.1,2.9,74.1,77,83,1.36,1.24,12.8,1.8,9.5,1.2,0.6,26.2,22.7,96.2,93.7,0,67.3,6.6,18.5,14.3,11.6,37.1,16
AVALON HEALTH CARE,57,19,5,0,0,3,15.8,94.7,0,5.3,3.2,2.6,3.6,4.2,4.4,3.9,1,54.8,50.2,0.7,31,1.6,613442.43,32286.44,3,0.2,16.2,13.9,0.9,2,73.1,89.1,90.4,1.02,1.43,11.2,3.3,7.1,1.5,1,17.4,12.9,97,97.8,0,50,5.1,9.3,17,9.8,40.2,13.2
AVAMERE,58,33,2,0,0,5,15.2,100,0,0,2.7,2.5,3.2,3.7,4.7,4.1,0.7,48.5,53,0.9,56,1.7,2618843.12,79358.88,6,0.2,17.6,13.4,1.6,2,80.3,83.1,89.9,1.37,1.68,14.1,2.9,8.6,2.3,1.9,21.7,14.3,93.6,96.6,0,55,5.5,12,10.3,9.2,33.5,13.5
AVANTE CENTERS,59,11,1,0,0,1,9.1,100,0,0,2.6,2.5,2.2,4.2,3.4,3.2,0.5,48.6,52.9,1.2,7,0.6,135183.75,12289.43,1,0.1,24.3,10.3,1.6,2.3,85,77.5,79.5,1.83,1.04,6.6,2.1,9.7,0.5,0.5,10.2,8.1,94.7,91.9,0,53.3,7.9,2.2,17.7,11.2,33.5,53.1
AVENTURA HEALTH GROUP,60,12,3,1,0,1,8.3,100,0,0,1.6,1.6,2,3.1,3.4,3.2,0.4,56.3,59.4,0.8,27,2.3,1161420.47,96785.04,7,0.6,24.9,11.5,2.4,1.6,73.9,56.6,62.3,1.63,1.43,14.8,2.7,8.6,0.9,0.8,16,16.7,88.8,78.2,0,46.8,6.3,14.5,20.6,10.4,15.7,0.8
AVERA HEALTH,61,10,3,0,0,0,0,0,100,0,3.7,3.1,4.5,3.4,4.2,3.6,1.1,36.3,16.7,0.3,14,1.4,90470.15,9047.02,2,0.2,18.5,10.8,2,3.4,83.9,88.8,93.5,1.04,1.8,13.5,4.6,5.5,1.5,3,18,16.5,99.2,98.4,0,55.4,4.1,2.5,15.1,9.6,57.5,2.8
AYDEN HEALTHCARE,63,11,1,0,0,1,9.1,100,0,0,2.1,1.9,1.5,4.5,3.2,2.8,0.4,49.9,45.2,0.6,36,3.3,478466.17,43496.92,2,0.2,17.3,16.5,0.5,2.7,79.9,60.9,67.1,1.28,1.83,6.9,2.6,7,0.2,0.2,10,10.6,87,84.8,0,39.3,4.9,29.2,24.5,10.5,36,7.8
AZRIA HEALTH,64,11,3,1,0,0,0,100,0,0,2,2.1,2.4,2.5,3.8,3.3,0.6,56.6,54.8,1,17,1.5,456593.28,41508.48,9,0.8,21.9,12.9,2.3,4.6,79.8,68,73.7,1.73,2.4,16.1,3.6,8.7,2.8,2.2,21.1,16.1,94.3,86.8,0.3,45.7,4.8,5.6,19.9,9.8,26.4,3.9
AZURE HEALTHCARE,681,7,1,0,0,3,42.9,100,0,0,1.3,1.3,1.6,2.4,3.2,3,0.4,60,72.6,0.9,14,2,619576.81,88510.97,0,0,29.2,13.5,1,2.9,78.1,52.2,44,1.51,2.13,22.7,3.1,5.7,1.2,0.6,20.8,19.2,84.9,72.5,0,52.7,7.5,2.1,19.7,11.5,62.2,28.7
BALL HEALTHCARE SERVICES,66,10,1,0,0,1,10,100,0,0,1.8,2.2,1.7,2.3,3.2,2.6,0.6,40.4,37.8,0.6,3,0.3,10950.55,1095.06,0,0,19.4,12.1,2.8,3.6,72.6,72.2,79.2,1.96,1.48,18.1,2.2,11.1,5,2.3,17.5,13.9,88.8,84.4,0.6,37.4,6.8,0.6,17.7,10.1,32.2,7.3
BALLAD HEALTH,67,4,2,0,0,0,0,0,75,25,3,3,3.3,3,4.8,3.8,1.9,42.6,29.4,0,1,0.3,9769.5,2442.38,1,0.3,19.4,16.4,1.6,1.9,58,80.6,76.2,1.18,1.44,19.2,1.8,6.3,3.9,2.4,28.9,25.4,97.8,94,3.1,51.9,3.4,1.8,20.1,10.5,51.3,4.9
BANECARE MANAGEMENT,68,9,1,0,0,0,0,100,0,0,3.3,3,2.8,4,3.5,3.2,0.6,47.3,48.9,0.2,20,2.2,501436.1,55715.12,0,0,20.9,9.2,1,2.8,78.7,81.8,76,1.32,1,20.8,5.2,7.9,2.2,1.2,15.1,13.1,95.2,88.7,0,57.8,6.8,0.9,17.1,10.5,31.5,24.3
BAYSHIRE SENIOR COMMUNITIES,682,7,1,0,0,1,14.3,100,0,0,2.4,2.3,1.9,4.1,4.6,4,0.5,54,59.4,0.8,64,9.1,520818.27,74402.61,3,0.4,19.5,11.1,1.5,1.6,84.8,90,99.1,1.2,2.86,10.2,2.8,5.7,0.7,1.2,9,7.9,89.5,100,0,58.3,4,34.1,20.9,12,25.9,20.1
BEACON HEALTH MANAGEMENT,69,24,2,1,0,0,0,100,0,0,1.3,1.7,1.5,2,2.9,2.7,0.4,64.7,79.8,1,234,9.8,2337776.4,97407.35,10,0.4,22.4,14.6,4.9,2.2,70.5,66.8,62.7,1.76,2.31,34,3.9,8.3,2.2,1.7,20.3,19,95,85.8,0.1,38.4,7.9,5.6,31.6,10.6,23.7,6.9
BEAR MOUNTAIN HEALTHCARE,70,13,2,0,1,1,7.7,100,0,0,2,2.1,2.8,2.9,3.5,3.2,0.6,35.6,39.8,0.5,33,2.5,1131191.39,87014.72,3,0.2,25.3,9.5,1.1,1.9,70.1,69.7,74.9,1.75,1.31,20.9,2.4,9.8,1.4,1.2,17.7,16.8,94.8,87,0.1,53.4,5.5,3.6,19.9,11,68.1,19.2
BEDFORD CARE CENTERS,71,7,1,0,0,2,28.6,100,0,0,2,2.3,3.7,1.3,4.1,3.6,0.6,57.5,45.9,0.6,13,1.9,377332.12,53904.59,2,0.3,30.9,14.2,2.5,1.8,60.3,77.5,96.7,2.73,3.2,20.8,3.1,7.6,2.5,1.9,20.1,13.5,93.7,99.3,0.4,51.4,10.2,5.6,26.9,11.5,43.6,3.3
BEDROCK CARE,72,25,2,1,2,4,16,100,0,0,1.8,1.6,2.3,3.5,3.5,3.1,0.6,64.6,58.5,1.4,123,4.9,2383727.24,95349.09,9,0.4,21.8,10,1.9,3.2,80.3,66.4,65.6,1.59,1.62,14.6,3,8.9,2.2,1,16.3,15.4,94.4,82,0,44.8,7.3,1.8,19.4,10.6,32.5,10.1
BEDROCK HEALTHCARE,73,10,4,0,2,3,30,100,0,0,1.2,1.2,2.3,2.3,3.6,3.2,0.6,56.6,55.4,1.4,33,3.3,1288858.99,128885.9,11,1.1,25,15.1,1.6,5.3,77.1,64.5,76.9,1.45,2.57,16.3,3.6,13.1,3.3,3.1,20.2,16.9,83,87.3,0,52.3,7.6,6.9,17,10.7,26.2,3.4
BEEBE FAMILY,74,39,2,0,0,1,2.6,100,0,0,2.5,3,2.6,1.8,3.7,3.1,0.4,49.9,36.8,0.3,33,0.8,514517.79,13192.76,6,0.2,27,15.1,3.8,2.8,67.4,88.2,95,2.3,2.63,19.2,4,9.5,2.6,1.5,15.4,17.8,96.2,98.9,0,44.6,4.5,1.3,20,11.3,27,9.8
BENEDICTINE HEALTH SYSTEM,75,23,4,0,0,0,0,0,100,0,3,2.9,3.9,3.3,3.8,3.4,1,51.2,39.5,0.5,30,1.3,532009.23,23130.84,4,0.2,19.5,12.5,1.6,3,74.5,83.8,90,1.25,1.53,16.8,3.2,7.7,2.8,2,15.9,14.7,95.3,95.8,0,52.7,4.6,4.8,15.4,9.8,28.7,6.8
BENJAMIN LANDA,646,77,4,2,3,4,5.2,100,0,0,3,3,2.3,3.2,3.6,3.2,0.6,48.7,48.4,1.1,95,1.2,3355519.75,43578.18,3,0,21.8,12.8,2,2.8,74,83.1,84.8,1.8,2.05,13.1,3.3,10.1,1.6,0.8,12.6,13.9,96.2,95.4,0,44.5,6.6,14,24.7,10.7,31.5,7
BEST CARE SERVICES,583,8,1,1,1,1,12.5,100,0,0,1.3,1.6,1.6,2,3.5,3.1,0.5,,,1.9,50,6.3,1573772.02,196721.5,4,0.5,23.4,14.2,2,2,70.2,57.2,68.3,1.83,2.29,16.8,4.4,5.7,1.3,1,23.3,21.9,87.7,84.2,0,60,6.8,2,18,11.5,24,24.4
BETHESDA HEALTH,77,2,2,0,0,0,0,0,100,0,3,3.5,1.5,3.5,4,3.4,0.6,56.8,69,2,3,1.5,50459,25229.5,0,0,21.9,12.1,1.1,4.6,78.3,54.5,63.6,1.18,1.72,0.7,8.4,14,1.4,0,19.2,16.5,89.3,86,0,79.6,17,17.4,21.1,10.7,36.1,0
BGM ESTATE,78,15,1,0,2,1,6.7,100,0,0,1.9,1.9,1.7,2.9,3.2,2.9,0.3,49.2,54.1,0.9,33,2.2,953526.5,63568.43,8,0.5,20.9,15.2,5,4.5,63.1,68.1,77.6,2.32,2.63,13.7,4.9,10.5,4.1,2,9.5,10.8,90.8,86.6,0.1,35.5,3.4,2.1,25.1,11.2,40.9,24.1
"BHCP OK4 HH-H SPONSOR, LLC",79,5,1,0,0,0,0,100,0,0,1.8,2.4,1.6,2.2,3.2,2.9,0.3,52.7,50,0,12,2.4,78146.82,15629.36,1,0.2,21.1,13.2,1.8,2.6,75.7,53,67.7,2.33,2.29,13.5,4,9.5,2.9,1.3,16.4,15.5,95,91.5,0,33.9,3.1,1.8,26.8,10.6,27,18.1
BHI SENIOR LIVING,80,6,2,0,0,0,0,0,83.3,16.7,4.5,4.3,4.4,3.7,5.7,4.6,1.8,37.9,21.7,0.3,3,0.5,11057.8,1842.97,0,0,23.7,10.7,1.6,5.5,83.9,83.9,96.3,1.28,1.67,15.8,3.3,8.9,1.1,1.9,19.3,12.3,98.3,98.5,0,65.1,5.9,5.1,20.6,10.4,32.6,1.7
BIG ROCK SNF HOLDINGS,606,9,1,0,0,0,0,100,0,0,2.7,2.9,2.7,2.4,3.9,3.2,0.3,58.9,62.6,0.7,5,0.6,42763,4751.44,0,0,18.6,12.6,3.2,4.1,78.9,72.7,75.4,1.96,2.68,19.2,3.4,11.4,1.2,0.7,17.5,16.6,96.3,96.3,0,38.6,4.1,1.3,29.4,10.4,20.8,0.7
BIRCHWOOD,634,6,1,0,0,2,33.3,66.7,0,33.3,2,2.2,2.2,4,3.3,3,0.4,53.6,42.9,0.3,13,2.2,223984.94,37330.82,3,0.5,17,5.9,1.8,1.8,71.9,77.9,78.2,2.1,1.6,9.6,3.2,5.2,0,0.4,10.8,20.1,95.9,95,0.1,49.4,3.7,2.3,28.2,10,34.5,6.6
BLUE CENTRAL GROUP,83,3,2,0,1,1,33.3,100,0,0,1.7,1,1,3.7,2.9,2.6,0.3,69.6,73.8,0.5,13,4.3,321425.13,107141.71,3,1,17.5,9.8,3.1,0,68.2,55.6,70.9,2.34,1.89,15.9,1.5,11,0.3,0.7,11.5,10.9,91.8,93.4,0,40.1,9.9,0.7,16.2,11.5,31.1,29.7
BLUE RIDGE HEALTHCARE,84,3,3,0,0,0,0,100,0,0,1,2,1.3,1,3.2,3.1,0.3,62.7,100,0.7,24,8,259842.92,86614.31,0,0,29.5,13.8,2,2.9,40.3,59.5,66.8,2.5,2.21,20.1,4,10.9,2.9,0.9,21.6,26.1,91.7,90.5,0.4,56,10.8,5,28.3,11.8,18.3,17.6
BLUE SPRING HEALTHCARE PARTNERS,85,5,1,0,0,0,0,100,0,0,4.6,3.6,3,5,3.5,3.2,0.5,54.7,50.3,0.6,2,0.4,11962.73,2392.55,0,0,19.1,8.8,0.7,2.9,87.9,83.5,93,1.04,0.52,12.5,1.9,7.8,0.2,0.4,11.9,9.5,97.7,97.7,0,44.6,5.5,1.7,29,11.3,55.5,19.8
BONAMOUR HEALTH GROUP,576,5,1,0,1,0,0,100,0,0,1,1.2,2.6,2.4,3.9,3.4,0.9,,,,12,2.4,362454.4,72490.88,1,0.2,26.7,18,3.1,3.9,72.9,67.8,72.8,1.33,1.73,16.6,2.7,12.1,2.4,1.9,21.7,15.5,91.6,90.4,0,59.5,6,2.2,24.6,10.3,27.8,0.7
BONCREST RESOURCE GROUP,86,5,4,0,0,1,20,20,60,20,2.4,2.8,2.8,3.4,4,3.5,0.9,67,68.3,2,5,1,43161.63,8632.33,0,0,21.9,13.2,0.9,2,70.5,91.2,87.6,1.38,1.03,16,6.3,4.1,1,1,19.9,14.6,97.5,94.2,0,69.4,7.5,2.1,15.9,10.2,45.5,4.2
BOOKER HOSPITAL DISTRICT,587,6,1,0,0,0,0,83.3,0,16.7,2.3,2.7,1.2,3,2.8,2.5,0.2,52.9,70,0.6,14,2.3,257640.01,42940,1,0.2,18.7,13,2.3,0.8,66.3,59.9,75,1.71,1.36,14.5,2.8,6.7,0.6,2.1,20,22.9,93,88.1,0,51.5,5.1,2.5,22.6,10.1,38.1,2.7
BRADFORD MONTGOMERY,87,11,2,0,0,1,9.1,100,0,0,2.6,2.5,2.8,3.3,3.6,3.4,0.3,53.1,100,0.2,10,0.9,172624.95,15693.18,3,0.3,28.7,13,3.3,0.4,73.9,67.4,80.8,1.87,1.71,19.6,4.8,6,1.3,2.6,8.8,8.9,95.7,95.6,0,30.9,2.4,4.3,28.6,10.5,38.9,1.2
BRIA HEALTH SERVICES,88,15,1,0,1,11,73.3,100,0,0,1.2,1.5,1,3,3.1,2.6,0.5,64.5,70.1,1.9,65,4.3,3809084.82,253938.99,26,1.7,27.1,13.9,3.5,1,76.5,48.5,48.9,1.96,2.02,11,2.9,5.8,0,0.4,14.6,12.9,81.3,67.1,0,35.6,7.5,83.7,17,11.1,42.1,8.4
BRIAR HILL MANAGEMENT,89,6,1,0,0,3,50,100,0,0,2.2,2.7,3.7,1.5,3.7,3.1,0.7,52.9,58.6,0.3,6,1,103834.25,17305.71,0,0,28.8,15.9,1.1,3.2,69.4,92.2,98.2,2.88,2.61,22.3,4.7,6.7,0.8,1.6,28.6,26,99.4,98,0.2,67.4,9.4,0.7,20.1,10.7,9.7,1.6
BRICKYARD HEALTHCARE,90,23,1,0,0,5,21.7,91.3,4.3,4.3,2,2,1.6,4,3.3,2.9,0.5,52.3,46.7,0.9,24,1,350426.7,15235.94,2,0.1,21.2,13.4,2.3,2.2,89.5,60.1,62.7,1.73,1.71,14.5,3.4,6.7,0.2,0.3,9.6,12.2,91.6,85.4,0,57.2,6.7,29.6,27.1,10.9,6.4,1.7
BRIDGES HEALTH,91,32,1,0,0,0,0,100,0,0,3.4,3.4,2.6,3.7,3.5,3.2,0.3,51.8,56.1,0.4,42,1.3,117397.61,3668.68,1,0,23.4,18.3,1.3,2.8,85.4,87.4,93.9,1.95,3.16,9.8,3.5,8.4,1.6,0.4,7.9,6.8,98,99.5,0.2,36,2.6,1.4,22.5,10.6,46.9,6.6
BRIUS MANAGEMENT,92,36,1,0,1,5,13.9,100,0,0,2.5,2.2,2.8,4.1,3.9,3.6,0.5,43,45.6,0.9,101,2.8,893498.91,24819.41,9,0.3,20,10.6,2.1,1.7,81.3,91.6,93.4,1.96,1.34,12.1,1.3,8.2,1.1,1.1,10.8,8.9,98.6,99,0,27.9,5.4,14.8,12.1,10.7,49.7,27.5
BROOKDALE SENIOR LIVING,93,14,10,0,0,1,7.1,100,0,0,2.8,2.6,3.8,3.6,4.3,3.8,1.1,54.6,54.8,0.3,29,2.1,659031.22,47073.66,4,0.3,23.4,10.4,1.8,2.7,72.7,83.4,86.2,1.47,1.15,12.5,4.1,10.6,2.4,1.3,22.4,13.6,93.2,96.7,0,73.4,7.8,1.5,15.1,10.4,41.6,14.1
"BVHC, LLC",82,11,1,0,0,1,9.1,100,0,0,3.5,3,3.5,4,5.5,4.9,0.6,52.8,49.8,1.7,75,6.8,418360.73,38032.79,3,0.3,24.6,11.5,1.3,1.3,80.5,95,98.9,1.74,1.35,8.7,1.5,4.7,1.5,1.6,10.5,9.4,98.2,99.8,0,39.2,5.4,3.6,11.9,10.7,49.3,21.8
C. ROSS MANAGEMENT,95,10,2,0,3,2,20,90,0,10,1.7,2,2,2.2,3.2,2.7,0.3,47.6,51,0.4,25,2.5,900903.78,90090.38,2,0.2,19.5,13.8,1.7,3.1,65.1,48.9,61,1.99,2.73,23.1,3.4,8.1,4.3,2.3,21.4,20.1,85.5,84.6,0,40.4,8.5,6.6,26.1,13,19.5,3.2
CADIA HEALTHCARE,96,5,1,0,0,0,0,100,0,0,3.8,3,3,5,3.8,3.5,0.8,53.8,51.8,0.8,3,0.6,149343,29868.6,0,0,18.9,10.8,0.2,1.5,89.2,87.6,95.2,1.7,1.4,5.7,1.9,7.6,2,0.4,11.6,8.2,97,98.3,0,52.4,3.8,4.1,24.5,9.4,48,6.2
CALDERA CARE,97,16,3,0,3,4,25,100,0,0,2.1,1.8,2.6,4.1,3.9,3.4,0.7,57,61,1.1,57,3.6,1826041.11,114127.57,7,0.4,14.8,12.1,1.1,2.7,80.2,72.5,75.2,1.02,1.46,14.5,2.2,8.4,2.2,1.3,13.9,11.6,95.7,94.1,0,55.1,6.7,11.2,10,10,29.7,9.5
CAMBRIDGE HEALTHCARE SERVICES,98,35,1,0,4,8,22.9,97.1,0,2.9,2.6,2.1,2.7,4.5,4,3.6,0.4,41.1,50.2,0.5,73,2.1,1530862.73,43738.94,13,0.4,21.7,10.2,1.3,1,83,98.4,97.4,1.85,1.43,12.2,1.7,7.1,0.9,0.7,9.4,5.7,99.2,98.6,0.1,33.7,4.8,15,12.1,10.5,36.7,15.6
CAMPBELL STREET SERVICES,99,12,2,0,1,0,0,100,0,0,1.9,1.9,2.1,2.8,3.4,3.1,0.5,57.7,65.1,1.1,28,2.3,423637.63,35303.14,9,0.8,18.2,16.5,0.1,1.5,77,76.5,89,1.88,2.09,16.4,3.1,6.1,2.2,2.5,24.2,21,91.5,94.4,0.3,47,4.7,3.1,23,9.7,31.2,4.9
CANTEX CONTINUING CARE,100,35,2,0,0,1,2.9,91.4,0,8.6,2.9,2.9,1.7,3.8,3.3,2.8,0.4,49.7,51,0.9,53,1.5,994875.27,28425.01,6,0.2,23.6,11.7,0.8,1.7,71.3,97.7,98.6,1.86,1.87,3.7,3,6.6,0.6,1,13.9,16.8,99.8,99.9,0,48.3,3.8,1.9,19.2,10.9,4.4,1.6
CANYON CREEK HEALTHCARE,101,16,1,0,1,3,18.8,100,0,0,2.4,2.7,1.6,3.5,3.1,2.7,0.5,60.1,56.6,1.4,47,2.9,891176.52,55698.53,2,0.1,19,18.1,1.5,2.5,76.2,83.2,91.6,1.35,3.09,12.7,4,7.3,0.5,1.2,13.7,13.6,98.8,99.7,0,47.7,5.5,0.6,12.5,10.6,25.7,8.2
CAPITAL HEALTH CARE NETWORK,607,5,1,0,0,0,0,100,0,0,1.8,2,2.6,2.8,3.7,3.1,0.7,45.5,46.5,1,10,2,199201.75,39840.35,3,0.6,27.7,13.4,0.9,2,81,81.8,94.4,1.54,2.53,18.7,3.6,7.5,1.6,0.1,16,11.5,96.7,98.8,0,44.9,7.7,14.1,31.9,11.6,16.7,0.8
CAPSTONE MANAGEMENT,102,9,2,0,0,1,11.1,100,0,0,2.7,2.7,2.7,3.3,4.2,3.6,0.7,53.3,45.2,0.1,18,2,313173.6,34797.07,2,0.2,24.4,12,2.2,4.7,79.7,71.4,82.7,1.44,1.57,15.9,4,9.1,1.6,1.1,15.9,12.8,86.5,93.3,0.2,53,6.2,6.9,18.4,10.3,32.7,3.4
CARADAY HEALTHCARE,103,21,1,0,1,5,23.8,76.2,0,23.8,2.6,2.8,1.3,4.3,2.7,2.2,0.4,56.3,52.6,0.5,52,2.5,1152228.51,54868.02,6,0.3,21.8,11.6,0.7,3.1,81.9,68.7,74.9,1.64,1.28,7.2,3.2,7,0.4,0.7,12.4,12.5,97.5,95.4,0.1,56.4,5.4,4.9,21.6,10.5,35.9,22
CARDON & ASSOCIATES,105,19,1,0,0,1,5.3,26.3,5.3,68.4,3.5,3.4,1.9,4.5,3.3,2.9,0.5,56.9,51.2,0.5,25,1.3,351126.1,18480.32,1,0.1,19.2,10.2,1.1,1.8,73.7,76.8,82.4,1.22,0.97,10.4,3.8,5.7,1.5,0.1,11.7,13.9,95,91.7,0,70,7.2,6.5,24,10.5,26.5,11.6
CARE & REHAB,673,6,2,0,0,0,0,100,0,0,3.7,3.3,4.2,2.8,4.1,3.7,0.8,33.1,42.9,0,3,0.5,18095.75,3015.96,0,0,11.7,26.2,1.4,5.2,82.9,83.1,92.5,1.36,3.19,15.7,3,6.3,3.1,3.6,21.5,10.9,98.7,97,0.2,53.8,5.2,2.5,7.1,10.1,24,14.9
CARE INITIATIVES,106,43,1,0,3,2,4.7,25.6,74.4,0,2.1,2.1,2.5,3.2,3.2,2.8,0.6,57.6,55.4,1.3,83,1.9,2566929.32,59696.03,21,0.5,18.9,14.3,2,2.2,76.8,72.1,86.3,1.23,1.84,23.1,2.9,5.6,1.7,2.2,19.9,15.5,95,96.7,0.1,47.3,4.1,5.3,21.7,10.1,36.3,8.7
CARE NETWORK,107,9,2,0,0,1,11.1,100,0,0,1.8,2,1.8,2.9,3.4,3.1,0.5,56.7,55.2,0.1,29,3.2,420691.27,46743.47,0,0,22.6,12.2,3.7,2.8,81.1,69,78.8,1.91,1.51,17.9,2.6,9.3,1.1,0.9,11.9,12.2,94.8,94.4,0,50.9,4.6,10.2,22.3,10.2,19.5,4.7
CARECORE HEALTH,108,10,1,0,0,0,0,100,0,0,2.1,1.8,1.4,3.4,3.6,3.1,0.4,67.5,60.6,0.9,27,2.7,590072.02,59007.2,12,1.2,17.9,12.3,0.9,2.6,75.4,57.8,72,1.25,1.16,10.1,3,7.2,1.2,0.1,9.6,13.2,89.8,89.8,0,32.2,6.5,37.9,25.3,11.4,20.5,0.2
CAREONE,109,37,4,0,0,0,0,100,0,0,3.6,3.3,2.8,4.2,3.6,3.2,0.6,33.8,39.1,0.9,36,1,877043.51,23703.88,2,0.1,24.4,10.1,1.2,1.9,81.5,78.3,82.6,1.55,1.16,17.8,2.9,10.3,1.5,1.7,12.9,9.1,94,92,0.2,61.6,5.7,8.8,17.1,10.9,38,19.7
CARERITE CENTERS,110,30,5,0,0,2,6.7,96.7,3.3,0,2.9,2.5,1.6,4.8,3.4,2.9,0.6,48,52.4,0.7,25,0.8,426243.37,14208.11,4,0.1,17,6.9,1.3,2.2,81.5,71.3,73.6,1.46,0.8,8.5,2.6,8.4,0.8,0.2,12.2,13,92.7,88.8,0,58.3,6.9,10,18.2,10.7,28.4,12.9
CARESPRING,111,15,2,0,0,0,0,100,0,0,4.4,4,2.3,4.4,3.8,3.2,0.6,53.4,38.2,0.7,5,0.3,48750,3250,1,0.1,24,10.3,1,1.8,89.3,91.3,99.3,1.78,1.48,10.7,3.6,6.2,0.1,0.5,5.7,13.2,97,99.9,0,58.6,6.5,27.9,22.6,10.4,9.2,2.9
CARING HEALTHCARE GROUP,113,13,1,0,1,1,7.7,46.2,0,53.8,2.4,2.3,2.5,4,3.6,2.8,0.4,49.6,51.5,0.5,14,1.1,379927.45,29225.19,0,0,23.5,11.2,0.8,1.2,46.9,88.3,98,1.85,1.77,3.7,1.9,3.4,0.1,1.8,5.2,10.8,97.8,99.5,0,29,6.2,9.8,20,10.6,22.7,7.8
CARING PLACE HEALTHCARE GROUP,114,5,1,0,0,0,0,100,0,0,3.8,3.6,1.8,4.6,3.6,3.3,0.4,51.5,43,0.4,3,0.6,28923.93,5784.79,1,0.2,25,7.3,0.7,1,78.3,83.3,89.4,1.06,1.32,13.7,2.2,2.4,0.9,0,13.9,14.8,93.1,90.7,0,60.9,7.2,38.6,22.6,10.8,3.5,1
CARLYLE SENIOR CARE,599,8,1,0,0,0,0,100,0,0,2.4,2.8,2.5,2.1,3.4,3,0.4,55,42.3,0.5,9,1.1,203882.72,25485.34,0,0,26,18.5,3.1,2.6,76.7,78.2,86.2,2.19,2.98,16.6,3.5,10,3,1.5,18,14.4,96.7,98.6,0.1,52.9,7.7,2.6,18.5,10.8,36.5,2.8
CARMELITE SISTERS FOR THE AGED AND INFIRM,637,2,2,0,0,0,0,0,100,0,3,3,3.5,4,4.4,4,0.7,53.8,45.8,1,5,2.5,44231.06,22115.53,0,0,29.5,13.1,1.5,1.2,85.8,79.1,85.4,1.62,0.6,9.5,4,5.3,1.7,0.3,10.5,10.9,98.6,96.9,0,65.4,4.5,6.9,14.6,9,49.7,1.4
CARMELITE SISTERS FOR THE AGED AND INFIRMED,115,4,3,0,0,0,0,0,100,0,4,3.5,3.8,3.8,4.4,4,0.8,48.1,52,0.3,7,1.8,127680.02,31920.01,0,0,24,12.9,0.9,3.1,86.7,73.9,76.6,1.46,1.08,11.5,3.5,5.3,3,0.4,20.1,12.6,96.2,87.3,0,58.1,5.5,3.2,9.2,9.6,21.6,14.8
CARROLTON HEALTH,116,6,1,0,0,1,16.7,100,0,0,1.7,1.8,1.6,2.4,3.4,2.9,0.3,50.7,48.5,0.5,6,1,185632.34,30938.72,1,0.2,21.7,16,1.7,7.2,73.6,42.5,48.2,1.43,2.69,10.2,2.6,17.3,0.5,2.4,26,16.2,78.8,66.6,0,36.7,8.7,0.2,19.6,11,9.4,0.5
